št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
48;6548962000;I;2015;0,31;0,12;0,05;0,04;1,04;1,04;17905,56;1410,25;0,18;0,28;0,00;1,20;1,81;0,22;1,74;1,18;0,35;0,07;0,09;0,57;0,43;1,31;1,88;0,00;0,55;0,00;0,21;0,75;0,03;0,78;-0,07;3,83;6,39;6,40;4,68;20,33;0,54;0,05;0,23;0,54;-0,35;0,81;-0,31;11,06;0,00
49;3648001000;I;2015;-2,00;-0,96;-0,14;-0,15;0,87;0,87;3804,89;-10651,50;-1,12;-0,58;1,00;0,25;0,41;0,01;0,67;-3,23;-1,37;-0,19;0,08;-1,38;2,38;-0,58;150,00;0,00;2,51;1,00;0,05;0,95;0,00;0,95;-0,96;6,17;15,06;9,41;10,28;0,00;-0,26;-0,08;-0,60;-0,25;-0,26;-0,25;-0,82;10,13;0,00
50;6568696000;I;2017;-2,00;-1,17;-0,27;-0,30;0,77;0,77;2338,33;-11946,67;-1,59;-1,34;1,00;0,17;0,28;0,14;0,03;-1,53;-1,42;-0,27;0,01;-2,02;3,02;-0,67;150,00;1,04;3,56;1,00;0,42;0,53;0,00;0,56;-0,70;3,82;19,42;3,06;10,90;0,00;-0,12;-0,05;-0,24;-0,08;-0,43;-0,27;0,24;9,10;0,00
51;6854575000;I;2017;0,63;0,28;0,05;0,04;1,05;1,05;31265,88;11563,93;0,27;0,20;0,00;0,71;0,71;0,10;0,61;0,77;-0,15;-0,02;0,05;0,49;0,51;0,96;1,67;0,00;1,42;0,00;0,20;0,36;0,00;0,36;0,33;7,84;17,73;13,41;12,91;255,15;1,03;0,08;0,52;1,03;0,70;0,17;0,13;11,79;0,00
52;6249892000;I;2014;-1,39;-0,26;-0,10;-0,16;0,86;0,86;8545,88;-6725,88;-0,15;-0,01;1,00;0,27;0,28;0,19;0,56;0,05;-0,70;-0,74;0,08;0,03;0,97;0,04;150,00;0,00;3,62;0,00;0,70;0,14;0,10;0,27;1,09;1,56;25,27;11,23;14,82;0,00;-0,08;-0,08;-0,08;-0,08;3,95;0,07;-0,84;10,52;0,00
53;6635792000;I;2016;0,01;0,00;0,00;0,00;1,00;1,00;11354,84;54,01;0,00;0,03;0,00;1,17;1,17;0,46;0,73;0,84;0,15;0,07;0,29;0,15;0,86;0,17;228,69;0,00;0,86;0,00;0,00;1,00;0,00;1,00;0,06;3,44;5,16;4,04;3,43;14,50;0,42;0,17;0,36;0,42;3,49;1,00;-0,89;11,16;0,00
54;3740838000;I;2015;-2,00;0,87;0,17;0,17;1,20;1,20;17306,00;3714,00;0,70;-18,11;0,00;0,10;0,10;0,10;0,00;0,84;-9,29;-0,20;0,00;-9,29;10,29;-0,90;1,30;0,00;10,29;1,00;0,00;1,00;0,00;1,00;0,06;13,14;19,90;2,78;10,94;0,00;1,10;0,24;0,99;1,10;-0,80;-0,12;-0,22;7,54;0,00
55;3329658000;I;2014;0,07;0,03;0,00;-0,01;1,01;1,00;20567,97;200,41;-0,04;0,27;0,00;1,02;1,62;0,64;0,38;1,07;0,32;0,04;0,03;0,49;0,51;0,97;32,85;0,00;0,62;0,00;0,15;0,61;0,20;0,83;0,58;7,36;42,07;8,88;13,96;24,56;0,16;0,01;0,08;0,16;-0,09;-0,04;0,58;10,68;0,00
56;5472105000;I;2013;0,06;0,02;0,21;0,05;1,05;1,06;25004,74;2345,17;0,03;0,30;0,00;0,10;0,12;0,04;0,11;0,77;-0,19;-0,33;0,02;0,36;0,64;0,57;5,43;0,39;10,11;0,00;0,98;0,02;0,00;0,02;0,04;0,53;26,66;3,60;11,97;0,00;1,03;0,39;0,22;0,34;-0,07;-0,02;-0,07;13,28;0,00
57;3380475000;I;2016;0,09;0,00;0,58;0,05;1,04;1,05;18554,00;636,33;0,01;0,01;0,00;0,15;0,16;0,05;3,70;0,05;-0,60;-3,75;0,46;0,05;0,95;0,05;10,22;0,00;8,68;0,00;0,89;0,07;0,04;0,11;-0,02;0,12;2,32;1,96;0,94;0,00;0,03;0,13;0,02;0,02;-0,06;-0,44;0,03;12,39;0,00
