št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
8276;3556115000;I;2015;-2,28;-0,09;-0,27;-1,00;0,50;0,50;-13796,00;-64813,36;-0,09;-0,33;1,00;0,12;0,12;0,00;2,47;0,04;-0,85;-9,71;1,36;-0,01;1,01;-0,01;150,00;0,04;8,10;1,00;0,01;0,12;0,88;0,12;0,01;0,09;1,22;1,96;1,00;0,00;-0,08;-0,86;-0,08;-0,07;-0,04;0,27;0,26;12,48;0,00
8277;6587275000;I;2014;-0,02;-0,01;0,00;0,00;1,00;1,00;12945,46;-263,64;-0,01;0,00;0,00;0,99;0,99;0,62;0,37;0,99;-0,01;0,00;0,05;0,53;0,48;1,11;150,00;0,00;1,01;0,00;0,00;0,19;0,82;0,47;0,00;7,01;39,93;13,59;37,99;0,00;0,61;0,08;0,29;0,61;0,02;0,07;-1,00;9,56;0,00
8278;5393213000;I;2017;0,10;0,07;0,07;0,05;1,05;1,05;25475,93;2247,22;0,08;0,56;0,00;1,00;1,05;0,63;0,39;1,00;0,02;0,01;0,09;0,64;0,37;1,74;3,31;0,00;0,96;0,00;0,61;0,38;0,00;0,38;0,03;1,64;11,89;2,82;4,66;0,00;0,53;0,13;0,19;0,53;0,16;0,14;0,55;13,95;0,00
8279;6591213000;I;2017;-2,00;-0,28;-0,08;-0,14;0,88;0,88;11679,42;-3798,32;-0,33;-0,44;0,00;0,63;0,70;0,31;0,39;0,74;-0,15;-0,06;0,07;-0,40;1,40;-0,29;150,00;0,92;1,43;1,00;0,51;0,34;0,00;0,34;0,04;2,43;16,64;4,00;8,49;0,00;-0,23;-0,05;-0,11;-0,08;0,05;-0,46;-1,00;10,14;0,00
8280;1884638000;I;2016;-2,00;-0,03;0,04;-0,63;0,62;0,61;14948,52;-23196,29;-0,03;-0,12;1,00;2,47;2,47;2,27;0,20;1,02;0,02;0,41;0,06;-0,04;1,04;-0,04;305,50;1,03;0,42;1,00;0,97;0,03;0,01;0,03;0,00;0,04;20,65;2,11;1,81;2,57;0,15;0,04;0,00;0,00;-0,03;0,11;0,08;13,63;0,00
8281;5942675000;I;2016;-2,00;-0,51;-0,04;-0,04;0,96;0,96;10934,37;-2157,71;-0,37;-8,41;1,00;0,03;0,08;0,01;0,01;-9,90;-8,06;-0,94;0,01;-7,77;8,77;-0,89;150,00;0,00;12,33;1,00;0,29;0,71;0,00;0,71;0,62;11,64;123,93;0,81;17,38;0,00;0,02;0,02;0,21;0,02;1,09;0,09;0,39;9,06;0,00
8282;3502171000;I;2014;0,04;0,01;0,04;0,01;1,00;1,01;32762,50;459,56;0,01;0,13;0,00;1,24;1,24;0,07;1,17;1,61;0,15;0,06;0,31;0,26;0,74;0,35;8,58;0,13;0,81;0,00;0,20;0,74;0,00;0,75;0,17;2,21;3,15;2,50;2,92;17,16;0,14;0,04;0,09;0,12;-0,07;0,18;-0,85;11,04;0,00
8283;1722719000;I;2015;0,64;0,39;0,43;0,41;1,66;1,69;51924,00;27333,67;0,41;0,31;0,00;3,54;3,62;3,53;0,01;1,54;0,32;0,32;0,00;0,68;0,32;2,15;0,73;0,20;0,28;0,00;0,56;0,44;0,00;0,44;0,00;1,19;347,00;4,20;2,12;5,60;3,42;0,42;0,42;1,31;0,47;0,23;0,99;12,42;0,00
8284;5895456000;I;2013;0,07;0,05;0,04;0,01;1,02;1,01;15966,37;621,02;0,05;0,56;0,00;1,13;1,47;0,71;0,41;1,12;0,09;0,03;0,03;0,79;0,21;3,78;1,88;0,01;0,68;0,00;0,13;0,23;0,52;0,29;0,05;3,27;25,80;9,53;10,72;24,61;0,83;0,05;0,17;0,79;0,07;0,00;0,73;10,91;0,00
8285;3291413000;I;2015;0,17;0,03;0,07;0,03;1,01;1,03;21355,75;764,28;0,07;0,15;0,00;0,09;0,51;0,04;0,08;0,51;-0,26;-0,09;0,01;0,24;0,76;0,31;4,23;0,25;1,98;0,00;0,36;0,26;0,00;0,26;0,14;2,34;54,69;4,96;6,32;0,00;0,78;0,15;0,40;0,53;-0,23;-0,10;0,25;11,93;0,00
8286;5346789000;I;2013;-0,16;-0,06;0,03;-0,02;0,97;0,98;17328,56;-2067,27;-0,05;0,35;0,00;1,67;1,67;0,94;1,01;26,41;0,40;0,17;0,19;0,41;0,59;0,69;8,41;0,00;0,60;0,00;0,01;0,44;0,54;0,99;-1,46;2,05;6,51;3,06;5,29;11,00;-0,55;-0,14;-0,33;-0,55;-0,19;-0,36;-1,00;12,85;0,00
8287;2297183000;I;2013;-2,00;0,07;0,05;0,02;1,02;1,02;16929,25;666,00;0,08;-0,34;0,00;0,38;0,47;0,10;0,87;-0,25;-0,61;-0,14;0,07;-0,14;1,14;-0,12;5,03;0,00;2,13;1,00;0,43;0,54;0,00;0,54;0,17;4,14;11,43;7,26;7,32;0,00;0,31;0,08;0,36;0,31;-0,14;0,11;1,00;10,52;0,00
8288;6415555000;I;2014;-0,92;-0,06;-0,02;-0,02;0,97;0,98;30975,41;-7754,10;-0,02;0,00;0,00;0,98;0,98;0,46;0,52;0,48;-0,02;-0,02;0,48;0,02;0,98;0,02;150,00;0,00;1,02;0,00;0,04;0,91;0,05;0,96;1,00;2,05;4,19;1,93;2,28;69,35;0,44;0,41;0,44;0,44;11,82;0,07;-1,00;11,89;0,00
8289;2237431000;I;2015;-2,00;0,03;0,38;0,02;1,04;1,02;18554,00;636,33;0,03;-1,01;0,00;0,44;0,57;0,01;2,88;-0,77;-0,57;-0,29;0,29;-0,32;1,32;-0,24;1,78;0,00;1,77;1,00;0,21;0,74;0,00;0,75;0,15;1,44;2,06;2,46;1,10;0,00;0,11;0,07;0,14;0,11;-0,41;0,92;-0,53;9,45;0,00
8290;6392318000;I;2017;0,40;0,09;0,04;0,02;1,02;1,02;17834,46;1418,69;0,09;0,10;0,00;0,95;1,12;0,51;0,45;0,96;0,05;0,01;0,05;0,25;0,75;0,34;4,76;0,29;0,90;0,00;0,49;0,39;0,12;0,51;0,92;3,84;15,07;5,13;7,69;25,94;0,62;0,08;0,28;0,38;0,03;1,14;0,25;11,64;0,00
8291;3704637000;I;2017;0,14;0,08;0,02;0,02;1,02;1,02;13354,10;200,92;0,08;0,01;0,00;1,81;1,81;0,26;1,56;0,84;0,45;0,11;0,21;0,45;0,55;0,81;6,77;0,00;0,55;0,00;0,00;1,00;0,00;1,00;0,06;5,77;6,46;0,79;5,65;9,89;0,23;0,03;0,13;0,23;1,29;4,74;0,79;9,88;0,00
8292;6913792000;I;2015;0,44;0,32;0,09;0,09;1,10;1,10;49855,56;23811,11;0,19;0,00;0,00;3,13;3,30;3,04;0,11;7,28;0,66;0,31;0,01;0,71;0,29;2,47;1,53;0,00;0,30;0,00;0,05;0,41;0,54;0,95;1,04;4,25;153,48;13,75;9,44;6,43;1,20;0,16;0,35;1,20;0,02;0,07;1,00;9,51;0,00
8293;6849172000;I;2015;-2,00;-1,76;-0,55;-0,59;0,63;0,63;91,70;-7746,64;-0,88;0,00;0,00;0,36;0,41;0,31;0,05;-1,21;-0,92;-0,61;0,05;-0,54;1,54;-0,35;150,00;0,00;2,46;1,00;0,37;0,15;0,48;0,63;1,16;3,00;40,78;2,12;30,64;0,00;0,28;0,29;0,44;0,28;0,02;0,07;-1,00;10,01;0,00
8294;1789317000;I;2017;0,65;0,31;0,12;0,10;1,11;1,11;57841,89;22068,38;0,33;0,20;0,00;5,67;5,73;3,36;2,32;2,21;0,59;0,18;0,09;0,52;0,48;1,08;1,25;0,02;0,65;0,00;0,24;0,66;0,00;0,71;0,44;3,75;10,22;26,72;4,84;6,11;3,18;0,12;0,39;0,82;0,31;0,36;0,20;13,03;0,00
8295;2263246000;I;2015;0,47;0,12;0,06;0,04;1,04;1,04;28994,29;8864,76;0,12;0,08;0,00;1,26;1,29;0,00;1,25;2,79;0,20;0,07;0,30;0,30;0,70;0,43;3,76;0,00;0,77;0,00;0,08;0,89;0,00;0,90;0,79;2,94;3,68;3,98;3,42;20,51;0,25;0,06;0,17;0,25;0,15;0,14;1,00;11,30;0,00
8296;5928052000;I;2016;0,15;0,05;0,09;0,05;1,04;1,05;19095,63;1534,27;0,07;0,20;0,00;0,62;0,85;0,22;0,67;0,68;-0,08;-0,06;0,15;0,34;0,66;0,52;5,26;0,11;1,22;0,00;0,55;0,32;0,12;0,45;0,73;1,42;6,90;2,42;3,52;16,49;0,31;0,12;0,16;0,25;0,16;-0,26;-0,01;11,94;0,00
8297;5053587000;I;2014;-0,01;-0,01;0,11;0,01;0,98;1,01;26388,11;-1224,52;0,00;0,00;1,00;0,14;0,16;0,02;0,27;0,84;-0,15;-0,49;0,07;0,65;0,35;1,85;10,03;0,17;6,34;0,00;0,96;0,03;0,00;0,03;0,01;0,31;15,27;1,95;11,15;0,00;0,24;0,14;0,04;0,12;-0,02;-0,06;0,39;16,26;0,00
8298;6709478000;I;2015;-0,16;-0,11;-0,05;-0,05;0,98;0,96;10280,00;-1240,00;-0,25;0,00;0,00;3,24;3,24;0,00;3,24;0,84;0,69;0,13;0,19;0,69;0,31;2,24;150,00;0,00;0,31;0,00;0,00;1,00;0,00;1,00;0,06;5,02;5,94;14,26;5,26;7,03;-0,94;-0,06;-0,29;-0,94;-0,09;3,88;-1,00;9,25;0,00
8299;5557402000;I;2015;0,00;0,00;0,00;0,00;1,00;1,00;22145,00;0,00;0,00;0,01;0,00;0,03;0,03;0,00;0,05;0,27;-0,72;-0,27;0,01;0,26;0,74;0,36;280,44;0,00;33,76;0,00;0,01;0,02;0,00;0,02;0,00;1,91;159,05;3,45;93,36;0,00;0,01;0,00;0,01;0,01;0,00;0,05;1,00;10,88;0,00
8300;5503175000;I;2013;0,07;0,02;0,17;0,04;1,04;1,04;13116,50;1048,00;0,03;-0,13;0,00;0,09;0,10;0,04;0,05;0,36;-0,60;-0,84;0,05;0,34;0,66;0,51;5,39;0,00;10,15;0,00;0,90;0,06;0,00;0,07;0,03;0,68;14,56;0,57;8,39;0,00;0,07;0,06;0,04;0,07;-0,07;-0,17;0,18;11,37;0,00
8301;3435954000;I;2013;0,26;0,03;0,07;0,02;1,02;1,02;11933,18;808,35;0,04;0,03;0,00;0,49;0,84;0,10;0,44;0,30;-0,13;-0,08;0,19;0,11;0,89;0,12;7,19;0,07;1,21;0,00;0,24;0,67;0,01;0,68;0,44;1,86;5,43;2,13;2,76;0,00;0,25;0,12;0,21;0,23;0,24;0,07;0,63;11,85;0,00
8302;5414750000;I;2017;-2,00;0,87;0,28;0,28;1,36;1,39;59539,99;26024,46;0,70;0,00;0,00;0,26;0,30;0,08;0,18;0,17;-0,61;-0,13;0,03;0,09;0,91;0,10;0,69;0,04;3,35;0,00;0,41;0,26;0,34;0,26;0,55;6,37;37,28;2,96;16,85;0,00;1,29;0,24;0,99;1,23;1,15;0,18;-0,12;12,47;0,00
8303;3677290000;I;2014;0,08;0,02;0,21;0,07;1,05;1,08;34084,56;3495,39;0,05;-0,02;0,00;0,05;0,10;0,01;0,10;0,89;-0,10;-0,15;0,01;0,31;0,69;0,44;5,04;0,58;11,09;0,00;0,97;0,01;0,00;0,01;-0,20;0,59;129,00;5,88;31,94;0,00;0,73;0,12;0,08;0,12;-0,19;0,69;0,85;13,94;0,00
8304;6160727000;I;2013;1,99;0,06;0,15;0,12;1,13;1,14;55743,37;24333,33;0,03;-0,03;0,00;0,87;0,87;0,00;0,03;0,50;-0,12;-0,43;0,10;0,09;0,91;0,09;22,20;0,01;1,15;0,00;0,08;0,76;0,12;0,78;0,35;0,52;13,99;0,44;0,62;0,00;0,96;1,12;0,87;0,95;11,82;8,64;1,00;14,44;0,00
8305;2059525000;I;2017;0,11;0,06;0,05;0,03;1,03;1,03;18255,86;2135,41;0,06;-0,57;0,00;0,22;0,44;0,18;0,04;0,90;-0,07;-0,04;0,00;0,88;0,12;7,03;1,20;0,00;2,30;0,00;0,95;0,05;0,00;0,05;0,00;1,90;337,49;8,58;41,62;0,00;0,17;0,01;0,02;0,17;-0,03;-0,03;-0,31;11,78;0,00
8306;5771200000;I;2017;0,07;0,04;0,07;0,04;1,05;1,04;19019,35;1506,88;0,04;0,39;0,00;0,87;1,55;0,02;0,85;1,03;0,17;0,15;0,23;0,65;0,35;1,88;4,17;0,04;0,64;0,00;0,46;0,42;0,00;0,48;0,00;1,11;6,17;1,70;2,25;7,05;0,19;0,05;0,06;0,17;-0,04;0,20;0,29;12,38;0,00
8307;3867668000;I;2014;-2,00;0,00;0,01;0,00;1,00;1,00;12921,18;-1,39;-0,01;-0,62;1,00;0,72;0,78;0,52;0,34;-2,40;-0,27;-0,06;0,05;-0,35;1,35;-0,26;36,97;0,11;1,28;1,00;0,03;0,44;0,54;0,97;0,00;5,02;19,80;5,64;13,56;0,00;0,15;0,04;0,19;0,14;0,18;0,09;1,00;10,24;0,00
8308;5987199000;I;2016;-2,00;0,01;0,13;0,02;1,03;1,03;13598,19;683,03;0,02;-0,59;0,00;0,76;0,94;0,76;0,00;0,96;-0,01;-0,01;0,00;-0,43;1,43;-0,30;13,98;1,29;1,06;1,00;0,86;0,14;0,00;0,14;0,00;0,73;1769,55;7,79;3,70;109,84;1,35;0,25;0,20;0,14;-0,15;-0,13;-0,13;11,09;0,00
8309;1647717000;I;2016;0,03;0,01;0,14;0,04;1,01;1,04;29362,65;558,47;0,04;0,25;0,00;0,10;0,20;0,02;0,19;0,76;-0,23;-0,24;0,02;0,30;0,70;0,43;5,25;0,42;4,96;0,00;0,91;0,03;0,01;0,06;0,01;0,85;30,46;3,88;11,29;0,00;0,26;0,08;0,07;0,10;-0,14;-0,05;-0,51;15,92;0,00
8310;2193272000;I;2014;0,92;0,10;0,13;0,09;1,10;1,10;37311,39;11562,66;0,13;0,01;0,00;0,32;0,40;0,15;0,24;0,45;-0,38;-0,26;0,07;0,16;0,84;0,20;4,31;0,19;2,58;0,00;0,75;0,25;0,00;0,25;0,05;1,43;13,67;3,43;5,48;0,00;0,61;0,26;0,38;0,46;0,00;1,48;0,77;12,08;0,00
8311;6508421000;I;2016;-2,00;-0,49;-0,05;-0,06;0,96;0,95;15148,68;-1772,03;-0,63;-0,72;1,00;0,28;0,36;0,24;0,03;-1,48;-1,09;-0,10;0,01;-0,71;1,71;-0,42;150,00;0,00;2,75;1,00;0,33;0,58;0,00;0,62;0,55;11,24;249,85;4,71;19,35;0,00;0,05;0,01;0,08;0,05;0,06;0,14;-0,35;9,65;0,00
8312;2307600000;I;2013;0,03;0,01;0,17;0,17;1,09;1,20;15203,97;3410,57;0,02;0,06;0,00;0,10;0,11;0,00;0,56;0,88;-0,12;-0,84;0,09;0,36;0,64;0,56;26,62;0,51;8,94;0,00;0,99;0,02;0,00;0,02;0,00;0,15;19,50;4,29;13,92;0,00;-0,02;-0,02;0,00;0,00;0,02;-0,28;-0,09;13,58;0,00
8313;6128343000;I;2014;0,61;0,01;0,02;0,02;1,00;1,02;18922,27;173,58;0,05;0,00;0,00;0,20;0,29;0,10;0,10;0,19;-0,60;-0,21;0,03;0,02;0,98;0,02;15,05;0,14;3,50;0,00;0,10;0,16;0,70;0,24;0,14;4,42;48,55;4,20;17,69;0,00;0,90;0,27;0,76;0,77;2,35;3,16;1,00;11,48;0,00
8314;6958044000;I;2016;0,02;0,02;-0,03;-0,04;1,00;0,97;12183,76;73,24;-0,20;0,02;0,00;2,06;2,49;0,29;1,77;3,15;0,58;0,10;0,12;0,61;0,39;1,55;150,00;0,00;0,40;0,00;0,03;0,98;0,00;0,98;1,28;6,21;9,23;10,23;6,50;9,62;-0,04;0,00;-0,02;-0,04;0,21;11,54;-0,21;9,48;0,00
8315;5355575000;I;2014;-2,00;0,01;0,05;0,01;1,01;1,01;22380,68;370,05;0,01;-0,49;0,00;0,25;0,35;0,22;0,07;-0,19;-0,70;-0,34;0,02;-0,14;1,14;-0,12;11,05;0,00;2,97;1,00;0,38;0,37;0,01;0,38;0,10;1,95;55,36;3,11;4,97;0,00;0,13;0,07;0,14;0,12;-0,12;0,22;-0,15;11,31;0,00
8316;3812464000;I;2015;0,09;0,06;0,04;0,03;1,02;1,03;19807,78;775,11;0,07;0,34;0,00;0,99;1,67;0,72;0,27;1,01;0,23;0,08;0,03;0,66;0,34;1,95;3,04;0,00;0,60;0,00;0,33;0,56;0,00;0,57;0,03;3,02;28,29;4,38;5,62;16,91;0,50;0,06;0,17;0,50;0,07;-0,06;-0,05;11,04;0,00
8317;3712605000;I;2013;-0,13;-0,01;0,11;0,04;0,98;1,04;28378,15;-1505,08;0,03;0,01;1,00;0,22;0,57;0,15;0,07;0,96;-0,02;-0,03;0,01;0,10;0,90;0,12;11,84;0,85;1,77;0,00;0,97;0,03;0,00;0,03;0,01;0,66;113,46;2,47;14,34;0,00;-3,66;-0,27;-0,18;-0,20;-0,06;0,27;-0,16;13,41;0,00
8318;6382851000;I;2014;0,26;0,04;0,12;0,09;1,06;1,10;16517,00;1125,00;0,09;0,00;0,00;0,00;0,08;0,00;0,00;0,65;-0,32;-0,31;0,00;0,21;0,79;0,26;6,57;0,44;12,46;0,00;0,97;0,03;0,00;0,03;0,00;0,91;19,88;0,93;13,47;0,00;-1,08;-0,37;-0,38;-0,48;-0,21;1,69;0,89;10,77;0,00
8319;6595596000;I;2014;-2,00;-3,35;-0,58;-0,58;0,64;0,63;-536,30;-15942,22;-3,08;0,00;0,00;0,29;0,33;0,07;0,33;-14,38;-1,99;-0,38;0,12;-1,99;2,99;-0,67;150,00;0,00;2,99;1,00;0,00;1,00;0,00;1,00;0,06;10,61;16,50;5,57;16,77;0,00;-0,64;-0,36;-1,90;-0,64;0,02;0,07;-1,00;8,86;0,00
8320;6020186000;I;2016;0,19;0,16;0,08;0,08;1,09;1,09;17295,64;2581,64;0,19;0,69;0,00;12,96;12,96;1,24;11,73;0,84;0,91;0,40;0,39;0,92;0,08;11,96;0,40;0,00;0,08;0,00;0,00;1,00;0,00;1,00;0,06;2,37;3,69;9,51;2,17;2,74;-4,78;-0,22;-0,51;-3,39;0,06;0,60;-0,55;9,00;0,00
8321;1992473000;I;2016;0,49;0,07;0,15;0,06;1,08;1,06;21842,19;4767,15;0,07;0,02;0,00;0,58;0,65;0,49;0,22;0,41;-0,28;-0,25;0,07;0,19;0,81;0,23;4,99;0,04;1,55;0,00;0,50;0,17;0,33;0,50;-0,66;1,06;29,66;2,70;8,89;0,00;0,24;0,16;0,18;0,23;-0,10;0,15;1,00;11,48;0,00
8322;5821878000;I;2014;0,15;0,06;0,04;0,03;1,04;1,03;14863,75;1701,25;0,05;0,29;0,00;0,46;0,49;0,13;0,34;0,61;-0,26;-0,15;0,10;0,37;0,63;0,60;8,38;0,09;2,17;0,00;0,12;0,25;0,00;0,25;0,06;2,03;9,13;2,85;7,09;0,00;0,49;0,14;0,25;0,40;0,37;0,17;-0,05;12,97;0,00
8323;2292882000;I;2013;-2,00;0,05;0,03;0,01;1,01;1,01;13945,61;260,81;0,05;-0,51;0,00;0,35;0,66;0,16;0,22;-0,20;-0,38;-0,08;0,04;-0,12;1,12;-0,11;7,68;0,00;1,51;1,00;0,26;0,74;0,00;0,74;0,38;5,59;21,60;2,99;7,66;0,00;-0,01;0,00;-0,01;-0,01;0,29;0,11;1,00;9,88;0,00
8324;5828163000;I;2017;0,18;0,09;0,13;0,09;1,10;1,10;28643,73;6041,46;0,07;0,33;0,00;2,15;2,16;0,85;1,71;1,10;0,09;0,11;0,13;0,42;0,58;0,74;5,79;0,50;0,46;0,00;0,84;0,16;0,00;0,16;0,92;1,06;4,45;7,59;2,52;4,42;3,28;0,32;0,25;0,43;1,14;0,07;0,61;13,03;0,00
8325;3935191000;I;2016;0,19;0,06;0,06;0,04;1,04;1,04;28602,80;1826,14;0,08;0,24;0,00;0,90;0,93;0,51;4,26;1,09;-0,05;-0,02;0,12;0,33;0,67;0,50;5,26;0,02;1,08;0,00;0,28;0,51;0,02;0,60;0,08;2,09;11,87;17,73;3,33;0,00;-0,25;-0,08;-0,16;-0,24;-0,01;-0,05;-0,28;12,44;0,00
8326;5912806000;I;2013;-2,00;-0,81;-0,85;-0,96;0,55;0,51;449,00;-10481,00;-4,89;-18,11;1,00;0,00;0,01;0,00;0,00;-40,97;-16,69;-2,69;0,00;-18,53;19,53;-0,95;150,00;0,00;91,54;1,00;0,83;0,17;0,00;0,17;0,00;0,90;459,41;0,38;1,85;0,00;-0,11;-0,28;-3,59;-0,11;-0,80;-0,61;-0,38;7,54;0,00
8327;3327353000;I;2017;2,65;0,25;0,07;0,06;1,06;1,06;24773,15;2827,56;0,24;0,00;0,00;0,90;0,99;0,65;0,26;0,55;-0,01;0,00;0,05;0,11;0,89;0,12;3,12;0,00;1,01;0,00;0,11;0,89;0,00;0,89;0,78;5,01;20,76;2,87;5,20;0,00;0,30;0,06;0,27;0,30;0,43;0,15;0,19;11,67;0,00
8328;6938825000;I;2017;0,45;0,02;0,01;0,01;1,00;1,01;21750,92;187,35;0,02;0,01;0,00;0,95;0,98;0,39;0,56;0,58;-0,02;0,00;0,11;0,03;0,97;0,04;32,26;0,00;1,02;0,00;0,02;0,93;0,00;0,95;0,63;6,06;10,89;4,33;6,61;0,00;0,23;0,05;0,22;0,23;0,76;0,28;-0,02;13,57;0,00
8329;2351013000;I;2013;-6,19;-0,57;-0,47;-0,47;0,68;0,68;-2035,00;-14810,00;-0,72;0,02;0,00;0,75;0,75;0,28;0,47;0,84;-0,34;-0,22;0,41;-0,34;1,34;-0,25;150,00;0,00;1,34;1,00;0,00;0,63;0,37;1,00;0,06;1,22;2,20;1,33;4,19;0,00;-0,04;-0,03;-0,05;-0,04;-0,35;-0,02;-1,00;9,93;0,00
8330;6297854000;I;2017;-2,00;0,17;0,17;0,15;1,13;1,18;34783,56;7827,93;0,25;-0,21;0,00;0,40;0,42;0,34;0,16;0,28;-0,48;-0,30;0,03;-0,18;1,18;-0,16;4,40;0,37;2,41;1,00;0,33;0,11;0,51;0,34;0,00;1,65;29,92;2,18;12,14;0,00;0,05;0,03;0,04;0,03;0,06;0,04;0,07;12,70;0,00
8331;6553575000;I;2014;0,40;0,07;0,01;0,01;1,01;1,01;11115,33;240,65;0,04;0,00;0,00;1,38;1,47;1,29;0,08;1,99;0,31;0,06;0,01;0,17;0,83;0,20;21,50;0,00;0,85;0,00;0,03;0,97;0,00;0,97;1,04;9,73;174,28;9,97;9,91;31,48;1,13;0,15;0,75;0,90;0,02;0,07;1,00;10,92;0,00
8332;6704603000;I;2017;-2,00;-2,31;-0,21;-0,22;0,82;0,82;6150,98;-5940,38;-2,42;-1,75;1,00;0,20;0,20;0,00;0,20;-5,62;-2,50;-0,23;0,06;-2,14;3,14;-0,68;150,00;0,00;5,07;1,00;0,38;0,62;0,00;0,62;1,19;9,47;22,00;4,21;54,21;0,00;0,11;0,03;0,36;0,11;-0,10;0,26;-0,49;8,49;0,00
8333;1851675000;I;2016;-2,00;0,03;0,04;0,01;1,01;1,01;22443,40;1592,96;0,02;-0,78;0,00;0,24;0,31;0,23;0,03;-0,05;-0,72;-0,26;0,01;-0,04;1,04;-0,04;8,54;0,00;3,23;1,00;0,48;0,32;0,00;0,32;0,57;4,35;210,89;7,28;13,27;0,00;0,23;0,09;0,24;0,23;2,65;1,44;1,00;10,56;0,00
8334;3396169000;I;2015;0,28;0,08;0,12;0,10;1,09;1,11;24580,43;3774,41;0,11;0,04;0,00;0,21;0,29;0,09;0,14;0,81;-0,17;-0,15;0,03;0,32;0,68;0,47;5,09;0,45;3,49;0,00;0,93;0,07;0,00;0,07;0,02;1,12;38,38;3,09;16,72;0,00;0,47;0,10;0,11;0,16;0,02;0,11;0,30;13,15;0,00
8335;6777503000;I;2016;0,13;0,10;0,05;0,05;1,06;1,06;18554,00;636,33;0,10;0,00;0,00;1,25;1,25;1,25;0,00;1,14;0,08;0,04;0,00;0,68;0,32;2,10;3,29;0,00;0,80;0,00;0,00;0,40;0,60;0,40;0,00;2,32;19,88;10,88;8,55;45,81;1,25;0,22;0,40;1,25;0,66;0,07;1,00;9,44;0,00
8336;5853494000;I;2016;0,46;0,09;0,16;0,08;1,07;1,08;29837,71;4730,34;0,09;0,09;0,00;1,77;1,91;1,01;1,04;1,16;0,14;0,12;0,10;0,19;0,81;0,24;4,53;0,66;0,53;0,00;0,70;0,27;0,04;0,29;0,67;1,43;9,18;6,98;3,78;11,84;1,42;0,19;0,21;0,26;0,80;0,13;0,85;13,24;0,00
8337;6390285000;I;2016;0,02;0,02;0,23;0,22;1,01;1,29;33288,32;391,72;0,34;0,69;0,00;6,63;6,71;5,16;1,47;14,39;0,81;0,53;0,14;0,86;0,14;6,05;0,41;0,00;0,15;0,00;0,05;0,41;0,55;0,95;1,17;3,03;14,58;10,72;5,78;3,75;-0,43;-0,04;-0,06;-0,43;0,02;0,07;1,00;12,60;0,00
8338;6228135000;I;2015;-2,00;-0,07;0,02;0,00;0,99;1,00;18554,00;636,33;0,00;-1,35;0,00;0,12;0,38;0,05;0,10;-0,27;-0,76;-0,10;0,01;-0,23;1,23;-0,19;6,55;0,00;2,60;1,00;0,53;0,47;0,00;0,47;0,26;7,31;68,95;11,21;14,43;0,00;0,36;0,06;0,44;0,36;-0,16;-0,11;-1,00;8,81;0,00
8339;1358545000;I;2016;0,29;0,19;0,17;0,15;1,17;1,18;32307,25;7899,79;0,26;0,38;0,00;1,63;1,74;1,48;0,18;1,19;0,14;0,08;0,02;0,63;0,37;1,69;1,26;0,18;0,58;0,00;0,32;0,34;0,33;0,34;0,00;1,61;67,34;7,07;3,93;8,27;1,56;0,18;0,31;0,82;-0,11;-0,03;-0,10;12,26;0,00
8340;5395003000;I;2013;-0,53;-0,05;-0,02;-0,35;0,74;0,74;15346,00;-15268,00;-0,05;-0,37;1,00;0,25;0,26;0,03;0,23;0,95;-0,09;-0,66;0,20;0,06;0,94;0,07;150,00;0,82;3,84;0,00;0,90;-0,01;0,00;0,03;0,00;0,13;5,10;0,74;0,00;0,00;0,00;0,00;0,00;0,00;-0,04;0,08;-0,06;12,71;0,00
8341;1708007000;I;2015;-2,00;-3,35;-0,61;-0,61;0,62;0,62;-1587,00;-14478,00;-4,89;-18,11;1,00;0,02;0,03;0,02;0,00;-40,97;-16,69;-3,15;0,00;-18,53;19,53;-0,95;150,00;0,00;33,15;1,00;0,00;1,00;0,00;1,00;0,06;10,46;19,88;7,46;16,86;0,00;-0,20;-0,66;-3,59;-0,20;0,05;-0,03;-0,08;7,75;0,00
8342;2349086000;I;2014;-2,00;0,03;0,02;0,00;1,01;1,00;13039,12;128,93;-0,02;-0,67;0,00;0,09;0,21;0,01;0,12;-0,20;-0,93;-0,16;0,02;-0,18;1,18;-0,15;10,88;0,00;4,70;1,00;0,73;0,25;0,00;0,25;0,40;5,10;27,52;3,65;13,00;0,00;0,37;0,07;0,43;0,37;-0,17;-0,03;-0,77;9,63;0,00
8343;3974669000;I;2014;0,44;0,28;0,28;0,26;1,33;1,36;23540,85;7592,25;0,33;0,32;0,00;3,52;3,54;0,49;3,04;21,52;0,70;0,55;0,66;0,73;0,27;2,65;0,78;0,00;0,28;0,00;0,03;0,84;0,13;0,97;0,00;1,35;2,40;1,51;1,70;4,87;-1,36;-0,30;-0,37;-1,36;0,15;0,14;1,00;10,62;0,00
